fa_section,fa_feature,fa_ref,ai_route,ai_api,status,phase,owner,pr_link
§1 Product entry & tenancy,Sign up / login / forgot password,§1 Product entry & tenancy,,,✅,—,,
§1 Product entry & tenancy,Company list / switch company,§1 Product entry & tenancy,,,✅,—,,
§1 Product entry & tenancy,Admin vs standard user types,§1 Product entry & tenancy,,,✅,—,,
§1 Product entry & tenancy,Subscription packages / seat limits,§1 Product entry & tenancy,,,✅ Stripe stub/live + seat limits on invite,P9,,
§1 Product entry & tenancy,API users + OTP + IP restrict,§1 Product entry & tenancy,,,✅ Invite OTP + per-member IP allowlist,P9,,
§1 Product entry & tenancy,Google Sign-In,§1 Product entry & tenancy,,,❌,P9,,
§1 Product entry & tenancy,2FA,§1 Product entry & tenancy,,,❌,P9,,
§1 Product entry & tenancy,Developer API keys UI,§1 Product entry & tenancy,,,❌,P9,,
§2 Global navigation,Dashboard widgets (§10.9),§2 Global navigation,,,✅,P4 polish,,
§2 Global navigation,Bank (6 sidebar items),§2 Global navigation,,,✅ 6 items + recon session,P2 spot-check,,
§2 Global navigation,Sales (6 + doc types),§2 Global navigation,,,✅ activity filters + batch SI,P2 spot-check vs FA export,,
§2 Global navigation,Purchases (6 + doc types),§2 Global navigation,,,✅ activity filters + batch bills,P2 spot-check vs FA export,,
§2 Global navigation,"Inventory (Products, Adj, Transfer)",§2 Global navigation,,,✅,—,,
§2 Global navigation,"Inventory (Landed cost, LC)",§2 Global navigation,,,❌,P3,,
§2 Global navigation,Reports hub tree,§2 Global navigation,,,✅ shortcuts + FA modules + full catalog modes,P6,,
§2 Global navigation,Analytical Reports hub,§2 Global navigation,,,✅ dedicated routes for all seeded analytical defs,P6,,
§2 Global navigation,Assembly (sidebar vs Stock),§2 Global navigation,,,✅ under Stock,—,,
§2 Global navigation,"Header: tasks, support, quick add",§2 Global navigation,,,✅,—,,
§3 Cross-cutting,Smart Settings (19 accordions §12.2),§3 Cross-cutting,,,✅ all accordions persist + runtime rules,P4,,
§3 Cross-cutting,Auto voucher / journal numbers,§3 Cross-cutting,,,✅,—,,
§3 Cross-cutting,Smart Filter 1–4 / Smart Doc 1–4,§3 Cross-cutting,,,✅ labels on SI/VI/SR/VP/bank forms,P4 Smart Doc depth optional,,
§3 Cross-cutting,Transaction templates,§3 Cross-cutting,,,✅ SI/VI/bank payment/receipt/journal save/load,P2,,
§3 Cross-cutting,Recurring transactions (full),§3 Cross-cutting,,,✅ CRUD + run-due (SI/bills batch),P2,,
§3 Cross-cutting,Draft / approve workflow,§3 Cross-cutting,,,✅ draft create + approve/post guards + threshold policies,P2,,
§3 Cross-cutting,User log (audit),§3 Cross-cutting,,,✅ View deep links on key doc types,P4,,
§3 Cross-cutting,Attachments (all FA doc types),§3 Cross-cutting,,,✅ bank payment/receipt/transfer + journal + trade docs,P2,,
§3 Cross-cutting,Email invoice / SMS,§3 Cross-cutting,,,✅ / ❌,"P5, P10",,
§3 Cross-cutting,Print templates (all codes §12.1),§3 Cross-cutting,,,✅ settings + print routes,P6 PDF,,
§3 Cross-cutting,"Excel import (bank vouchers, journals, SI, customers, stock)",§3 Cross-cutting,,,"✅ import jobs: masters, opening_stock, product_tax_update, journals, bank EP/IR, SI/SR/VI/VP + postGl","P2, P7",,
§3 Cross-cutting,"Copy document (SI, journal, bank payment)",§3 Cross-cutting,,,✅,P2,,
§3 Cross-cutting,Batch SI / batch bills,§3 Cross-cutting,,,✅,P2,,
§3 Cross-cutting,Column / content / filter management,§3 Cross-cutting,,,✅ content settings hub + listing catalog API,P4,,
§3 Cross-cutting,Projects / locations on lines,§3 Cross-cutting,,,✅ masters,P2 line UX,,
§3 Cross-cutting,GST / ADT / FED / WHT on lines,§3 Cross-cutting,,,✅ GST (SI) + ADT/FED (VI) + WHT (SR/VP),P2 spot-check,,
§3 Cross-cutting,Multi-currency / FX / revaluation,§3 Cross-cutting,,,✅ bank currency + FX reval page,P2,,
§3 Cross-cutting,Lock date global + per-user,§3 Cross-cutting,,,✅,P2,,
§3 Cross-cutting,FIFO allocation,§3 Cross-cutting,,,✅,—,,
§3 Cross-cutting,"Distribution pricing (margin, trade offer, area qty)",§3 Cross-cutting,,,❌,P8,,
§3 Cross-cutting,FBR digital invoicing,§3 Cross-cutting,,,✅ stub + PRAL live when FBR_PRAL_* configured,P5,,
§3 Cross-cutting,Online payments PayPro/Kuickpay,§3 Cross-cutting,,,✅ checkout + webhook; live when PAYPRO_*/KUICKPAY_* configured,P5,,
§3 Cross-cutting,Emails add-on automation,§3 Cross-cutting,,,❌,P5,,
§4 Bank,Account balances,§4 Bank,,,✅,—,,
§4 Bank,Bank payments (multi-line nominal),§4 Bank,,,✅,—,,
§4 Bank,Bank receipts,§4 Bank,,,✅,—,,
§4 Bank,Transfers,§4 Bank,,,✅,—,,
§4 Bank,Reconciliation (tick/clear session),§4 Bank,,,✅ tick/clear/auto-match/complete,P2,,
§4 Bank,Import statement,§4 Bank,,,✅,—,,
§4 Bank,Excel voucher import,§4 Bank,,,✅ import jobs EP/IR,P2,,
§4 Bank,Revaluation,§4 Bank,,,✅ page,P2 wizard,,
§4 Bank,Multi-currency bank setup,§4 Bank,,,✅ currency on bank account,P2,,
§5 Sales,Customers (master + import),§5 Sales,,,✅ import jobs,P7,,
§5 Sales,Quotations,§5 Sales,,,✅,—,,
§5 Sales,Sales orders (lifecycle),§5 Sales,,,✅,—,,
§5 Sales,Sales invoices,§5 Sales,,,✅,P2 tax depth,,
§5 Sales,Sales credits (SC),§5 Sales,,,✅,—,,
§5 Sales,Delivery notes GDNSI/GDNSO,§5 Sales,,,✅,—,,
§5 Sales,PDC received,§5 Sales,,,✅,P2 reversal,,
§5 Sales,Sales receipts + allocation,§5 Sales,,,✅,P2 WHT advance,,
§5 Sales,Sales All unified list,§5 Sales,,,✅ server filters + UI,P2,,
§5 Sales,Customer ledger / performance reports,§5 Sales,,,"✅ AR/AP aging, statements, 047/067/182 + extended sales",P6,,
§5 Sales,Email invoice,§5 Sales,,,✅ SI detail email + settings toggle,P5,,
§5 Sales,POS mode,§5 Sales,,,❌,P8,,
§6 Purchases,Suppliers,§6 Purchases,,,✅,P7 import,,
§6 Purchases,Purchase orders,§6 Purchases,,,✅,—,,
§6 Purchases,Supplier bills (VI),§6 Purchases,,,✅,P2 tax,,
§6 Purchases,Supplier credits (VC),§6 Purchases,,,✅,—,,
§6 Purchases,Supplier payments + allocation,§6 Purchases,,,✅,—,,
§6 Purchases,PDC issued,§6 Purchases,,,✅,P2,,
§6 Purchases,GRN PO/VI,§6 Purchases,,,✅,—,,
§6 Purchases,Purchases All,§6 Purchases,,,✅ server filters + UI,P2,,
§6 Purchases,Supplier notify email/SMS,§6 Purchases,,,❌,P5,,
§7 Inventory,"Products (master, UOM, batches)",§7 Inventory,,,✅,P7 bulk,,
§7 Inventory,Stock adjustment / transfer,§7 Inventory,,,✅,—,,
§7 Inventory,Landed cost,§7 Inventory,,,❌,P3,,
§7 Inventory,Letter of credit,§7 Inventory,,,❌,P3,,
§7 Inventory,Projects (inventory entry),§7 Inventory,,,✅ settings,—,,
§7 Inventory,Multi-unit full matrix,§7 Inventory,,,✅ UOM UI + report 181,P8,,
§7 Inventory,Batch & expiry on transactions,§7 Inventory,,,✅ schema + goods issue,P2,,
§7 Inventory,Opening stock bulk import,§7 Inventory,,,✅ import jobs opening_stock + migration script,P7,,
§7 Inventory,Bundle products,§7 Inventory,,,❌,P8,,
§7 Inventory,Product bulk tax update,§7 Inventory,,,✅ import jobs product_tax_update,P7,,
§8 Fixed assets,Asset register,§8 Fixed assets,,,❌,P3,,
§8 Fixed assets,Depreciation run,§8 Fixed assets,,,❌,P3,,
§8 Fixed assets,Disposal + GL,§8 Fixed assets,,,❌,P3,,
§8 Fixed assets,Import/export assets,§8 Fixed assets,,,❌,P3,,
§8 Fixed assets,FA reports category,§8 Fixed assets,,,❌,"P3, P6",,
"§9 GL, journals, budget",Chart of account / sections / nominals,"§9 GL, journals, budget",,,✅ PATCH/move + bulk delete unused,P2,,
"§9 GL, journals, budget",Journals (add/reverse),"§9 GL, journals, budget",,,✅ add/reverse/edit/copy/bulk delete/excel import,P2,,
"§9 GL, journals, budget",Budget module,"§9 GL, journals, budget",,,✅ CRUD,P3 reports,,
"§9 GL, journals, budget",Taxes and year end (§12.12),"§9 GL, journals, budget",,,✅,P2 ADT/FED rows,,
"§9 GL, journals, budget",Lock date,"§9 GL, journals, budget",,,✅ global + per-user UI,P2,,
§10 Reports,§10.11 Sales and Customer (22 reports),§10 Reports,,,✅ all 22 IDs → dedicated pages or statements,P6,,
§10 Reports,§10.11 Inventory Products (22 reports),§10 Reports,,,"✅ incl. product activity, stock transfer (206), performance",P6,,
§10 Reports,Favorites star sync,§10 Reports,,,✅ Smart Settings persist,P6,,
§10 Reports,Bank / Financial / Assembly / Projects / Taxes / Budget / FA / Consolidation trees,§10 Reports,,,✅ seeded module trees routed (taxes/FA/consolidation N/A until licensed),P6,,
§10 Reports,Analytical 30+ reports,§10 Reports,,,✅ all seeded analytical catalog rows dedicated,P6,,
§10 Reports,"Report runner (filters, export, drill-down)",§10 Reports,,,✅ date/export + cell drill-down to docs/GL/statements,P6,,
§10 Reports,Dashboard report deep links,§10 Reports,,,✅,—,,
§11 Assembly,Templates,§11 Assembly,,,✅,—,,
§11 Assembly,"Jobs (finish, costing)",§11 Assembly,,,✅,—,,
§11 Assembly,Assembly reports,§11 Assembly,,,✅ ASM job/templates/WIP/component + bank activity shortcuts,P6,,
§11 Assembly,Batch/expiry in assembly,§11 Assembly,,,✅ job batch/expiry + finish upserts ProductBatch,P2,,
§12 Settings mega-menu,All §12.1 printing links (SI…Project),§12 Settings mega-menu,,,✅,—,,
§12 Settings mega-menu,Smart Settings full accordions,§12 Settings mega-menu,,,"✅ credit limit SI/SO, round-off, template draft, auto codes, last rate, product desc",P4,,
§12 Settings mega-menu,Business information,§12 Settings mega-menu,,,✅,—,,
§12 Settings mega-menu,Users / roles (expanded trees),§12 Settings mega-menu,,,✅ submodule tree + search + bulk select in role editor,"P4, P9",,
§12 Settings mega-menu,Authorisation policies,§12 Settings mega-menu,,,✅ UI,P2 runtime,,
§12 Settings mega-menu,Advance users,§12 Settings mega-menu,,,✅ rules UI + customer/supplier/product list filtering,P5,,
§12 Settings mega-menu,Locations,§12 Settings mega-menu,,,✅,—,,
§12 Settings mega-menu,Dashboard management,§12 Settings mega-menu,,,✅ widget gating + settings UI,P4,,
§12 Settings mega-menu,OP methods,§12 Settings mega-menu,,,✅ enabled methods + default payment,P4,,
§12 Settings mega-menu,"Filters / columns / content (Forms, Menu, Listing)",§12 Settings mega-menu,,,✅ `/settings/content` hub,P4,,
§12 Settings mega-menu,Missed recurrence,§12 Settings mega-menu,,,✅,P2 full scheduler,,
§12 Settings mega-menu,Email settings / sent emails,§12 Settings mega-menu,,,✅ SMTP settings + sent log grid,P5,,
§12 Settings mega-menu,User log §12.15,§12 Settings mega-menu,,,✅ View deep links,P4,,
